hours_studied,hours_sleep,practice_problems,confidence_level,days_before_test,score
9,10,5,5,5,81
4,8,0,7,5,75
7,9,22,6,0,99
8,9,48,4,4,100
2,10,24,3,13,94
11,8,3,4,8,100
12,7,39,10,14,100
0,6,30,1,10,65
9,6,18,1,11,96
1,10,8,2,9,69
8,6,34,1,13,94
12,8,49,1,14,100
6,6,42,6,3,100
5,10,30,6,7,99
2,6,40,9,8,90
6,7,21,3,2,76
10,6,36,3,6,100
1,10,22,4,9,82
1,10,3,6,14,79
12,6,42,10,0,100
5,6,32,3,13,99
12,7,23,3,11,98
12,7,29,8,12,100
8,9,1,6,0,73
12,9,48,4,9,100
9,9,23,7,11,100
3,8,22,3,11,77
11,5,49,4,6,100
1,9,22,1,3,58
11,9,19,4,12,100
3,5,3,2,0,63
9,10,11,8,12,100
2,4,13,7,2,73
2,6,42,3,9,77
2,6,12,4,3,63
3,9,46,7,12,100
4,6,1,2,14,73
7,8,18,1,12,93
7,7,22,1,11,99
8,10,24,9,8,100
6,4,17,5,11,78
10,6,47,2,13,100
1,8,10,3,9,73
2,5,39,1,6,75
12,10,4,9,8,100
8,9,13,3,5,90
12,9,49,1,0,100
3,10,33,6,13,89
7,4,2,6,3,65
2,9,28,9,8,80
6,7,3,2,9,68
2,8,12,7,1,61
4,4,43,8,9,89
10,9,12,10,4,100
12,7,42,5,0,100
2,7,38,1,11,77
6,9,36,1,8,100
0,8,1,3,2,54
11,4,3,7,12,100
5,5,49,9,11,100
7,4,31,7,5,88
5,4,35,10,7,95
0,7,21,5,8,76
9,5,18,3,9,86
6,10,44,1,1,100
8,8,41,6,13,100
12,6,2,1,14,85
11,4,34,8,3,100
10,8,1,10,3,95
5,4,12,2,14,81
8,5,38,3,7,90
12,10,30,2,9,100
10,5,22,5,2,97
5,4,4,2,1,65
1,5,24,8,3,73
6,4,40,2,2,80
3,8,18,5,2,65
3,5,23,10,5,78
3,6,1,4,5,55
8,10,41,4,5,100
6,7,50,1,5,100
5,9,1,6,14,88
5,6,16,7,1,69
3,7,31,6,2,72
7,6,20,4,11,86
9,7,29,7,5,100
7,4,36,10,10,100
3,10,6,8,7,83
0,4,35,7,6,78
2,4,18,6,1,72
4,9,49,3,13,100
9,6,18,6,7,89
0,8,20,9,4,72
1,9,44,5,8,80
7,5,15,4,3,76
0,10,50,2,0,77
7,6,49,7,6,100
11,9,47,2,0,100
8,9,27,2,12,97
2,9,41,8,5,88
0,4,8,5,8,58
11,4,6,9,5,86
12,8,16,5,3,100
8,4,11,1,2,73
2,5,25,3,3,60
1,9,32,10,3,93
3,6,22,5,10,88
11,4,3,1,14,90
6,9,39,5,1,98
5,8,38,8,4,100
5,9,35,5,14,94
8,8,17,10,3,100
10,10,48,2,1,100
4,10,34,7,8,100
7,4,41,4,10,92
12,6,22,1,4,100
7,7,11,7,5,76
1,8,27,8,6,77
12,7,39,10,4,100
9,5,33,1,13,100
4,9,39,7,9,95
11,10,50,1,10,100
6,6,49,5,13,100
11,7,25,3,0,100
12,9,34,7,8,100
10,7,1,3,9,78
11,9,23,4,12,100
7,5,14,8,8,94
0,7,22,8,13,87
3,7,39,4,9,94
12,10,12,4,3,96
2,4,5,4,1,53
8,8,3,6,2,84
1,5,2,5,0,60
0,10,36,1,13,93
3,10,33,1,11,82
0,10,14,1,8,72
5,10,14,1,1,72
4,4,39,2,10,93
5,4,36,5,10,88
4,5,27,1,11,76
6,4,1,3,12,69
10,7,16,6,3,94
5,10,18,8,5,81
8,9,49,2,6,100
8,9,22,9,6,100
3,5,46,5,8,94
12,4,32,1,2,95
5,4,44,9,14,94
11,9,25,6,9,100
1,5,33,5,14,90
5,9,5,10,2,78
6,4,20,8,1,71
9,8,34,9,5,100
11,8,43,8,14,100
0,6,48,3,10,80
2,7,11,7,6,67
12,10,25,1,8,100
10,7,14,5,0,94
11,8,37,8,7,100
6,10,1,1,4,75
4,9,10,5,8,79
0,5,37,10,0,84
5,9,46,3,10,100
0,10,12,8,1,70
2,7,32,9,10,90
1,6,20,8,7,76
7,8,22,5,9,98
11,4,6,1,14,96
1,7,0,9,3,52
11,6,39,10,2,100
9,9,13,7,5,100
12,6,3,8,10,100
5,7,0,5,1,61
10,9,25,9,1,100
12,5,4,7,6,93
6,10,48,7,7,100
12,7,29,7,9,100
11,10,24,4,7,100
0,6,29,1,8,79
10,10,49,2,10,100
0,10,31,3,1,80
1,10,33,3,5,80
4,10,2,6,9,85
1,8,6,1,5,57
9,7,46,4,8,100
10,4,11,7,9,87
9,8,4,10,11,100
6,5,50,7,6,100
1,8,39,7,6,95
11,8,45,2,11,100
7,8,32,4,8,95
5,6,39,1,12,88
7,10,14,6,5,88
7,6,3,10,3,79
8,8,4,8,8,80
8,10,2,2,13,94
11,8,21,5,3,96
3,6,6,6,6,74
2,9,33,8,3,80
